complete_string,range,min_num,max_num,letter,password
11-12 l: rclllgbllblb,11-12,11,12,l, rclllgbllblb
6-7 x: fxhbmnj,6-7,6,7,x, fxhbmnj
15-17 q: kqvhwsqhqqqhmqqtqqlq,15-17,15,17,q, kqvhwsqhqqqhmqqtqqlq
12-14 k: kksktkkkkkkkkfk,12-14,12,14,k, kksktkkkkkkkkfk
3-4 h: hshk,3-4,3,4,h, hshk
14-17 v: vvvqvvkvvvvvvvjkvxv,14-17,14,17,v, vvvqvvkvvvvvvvjkvxv
2-6 f: vfvfrp,2-6,2,6,f, vfvfrp
4-12 z: bzzqszhwffrhr,4-12,4,12,z, bzzqszhwffrhr
2-9 b: sbdjfbndbhcclrmblccn,2-9,2,9,b, sbdjfbndbhcclrmblccn
11-13 j: jjjjjjjjjjgjkjjjjj,11-13,11,13,j, jjjjjjjjjjgjkjjjjj
15-17 f: fpffffsfffffffdfjfff,15-17,15,17,f, fpffffsfffffffdfjfff
6-7 v: tlvvvvv,6-7,6,7,v, tlvvvvv
11-19 l: llllllllllllllllllll,11-19,11,19,l, llllllllllllllllllll
1-6 w: wwbwwwwww,1-6,1,6,w, wwbwwwwww
3-7 s: cpsvmss,3-7,3,7,s, cpsvmss
2-11 r: rrpnkchfzljwxmrrvvw,2-11,2,11,r, rrpnkchfzljwxmrrvvw
7-12 n: msgpplgpfnkmxlm,7-12,7,12,n, msgpplgpfnkmxlm
4-13 f: sjpfqpnzqzznfftfhgfs,4-13,4,13,f, sjpfqpnzqzznfftfhgfs
13-14 q: qqqqqqqqqqqqqqq,13-14,13,14,q, qqqqqqqqqqqqqqq
13-14 j: jjjmjjjjjjjjgq,13-14,13,14,j, jjjmjjjjjjjjgq
2-4 q: qdrds,2-4,2,4,q, qdrds
5-10 s: ssssqssssbs,5-10,5,10,s, ssssqssssbs
6-8 c: ccdcchchcc,6-8,6,8,c, ccdcchchcc
18-20 z: xztgqzzckzgcpzzzjzdz,18-20,18,20,z, xztgqzzckzgcpzzzjzdz
5-8 z: ctpdzzzzzqzmvzxn,5-8,5,8,z, ctpdzzzzzqzmvzxn
6-8 b: bbmkgbfkb,6-8,6,8,b, bbmkgbfkb
2-10 x: xxxxxxxxxxx,2-10,2,10,x, xxxxxxxxxxx
5-6 z: gzzzqk,5-6,5,6,z, gzzzqk
4-7 c: cccvccj,4-7,4,7,c, cccvccj
7-8 d: dddddddd,7-8,7,8,d, dddddddd
9-11 c: ccdccfccxcccc,9-11,9,11,c, ccdccfccxcccc
1-4 z: zjzzzz,1-4,1,4,z, zjzzzz
6-8 z: zlmjbzvz,6-8,6,8,z, zlmjbzvz
8-10 v: gvtjvgvzvjphscn,8-10,8,10,v, gvtjvgvzvjphscn
8-10 d: dcdddddddddddddd,8-10,8,10,d, dcdddddddddddddd
7-8 p: mjpwppppp,7-8,7,8,p, mjpwppppp
1-11 w: wwwwwnwwwwwww,1-11,1,11,w, wwwwwnwwwwwww
7-9 j: jjjjjjjjj,7-9,7,9,j, jjjjjjjjj
6-8 q: dmqdqqzt,6-8,6,8,q, dmqdqqzt
3-10 p: tsqcpgmzgh,3-10,3,10,p, tsqcpgmzgh
11-15 s: ssslsxrlbfqsssssss,11-15,11,15,s, ssslsxrlbfqsssssss
5-10 m: dpmtmhbdmk,5-10,5,10,m, dpmtmhbdmk
3-5 p: wpjqv,3-5,3,5,p, wpjqv
10-13 p: lhvkzxprppmtprj,10-13,10,13,p, lhvkzxprppmtprj
4-6 w: nlfjwz,4-6,4,6,w, nlfjwz
19-20 c: kzckcfsqpdvssgcgktcm,19-20,19,20,c, kzckcfsqpdvssgcgktcm
1-2 p: ppgltbv,1-2,1,2,p, ppgltbv
3-4 w: ngwwfttwqg,3-4,3,4,w, ngwwfttwqg
10-11 p: ppppppnpllgp,10-11,10,11,p, ppppppnpllgp
2-4 t: tkttptt,2-4,2,4,t, tkttptt
3-6 x: xwrjpcf,3-6,3,6,x, xwrjpcf
14-17 q: qcqbqfqqkqdqrqqqq,14-17,14,17,q, qcqbqfqqkqdqrqqqq
4-8 n: qsncdnbknpn,4-8,4,8,n, qsncdnbknpn
8-10 s: wzscpmssrshh,8-10,8,10,s, wzscpmssrshh
3-8 p: pfppppgpp,3-8,3,8,p, pfppppgpp
11-15 b: tqdbgfbbbgjbbbg,11-15,11,15,b, tqdbgfbbbgjbbbg
12-15 h: lwhhjzhpmhzhhnhmhh,12-15,12,15,h, lwhhjzhpmhzhhnhmhh
4-5 w: nwccwlpwdvtlwwr,4-5,4,5,w, nwccwlpwdvtlwwr
11-16 w: wwwwwwwwwwswwwwxw,11-16,11,16,w, wwwwwwwwwwswwwwxw
6-9 q: qqqqqqqqqqqqqqqq,6-9,6,9,q, qqqqqqqqqqqqqqqq
8-12 t: tqttjtttpgbtlt,8-12,8,12,t, tqttjtttpgbtlt
14-15 v: vvvvkvgvvvvvvvg,14-15,14,15,v, vvvvkvgvvvvvvvg
2-12 f: fpfflxzxffwxfvfff,2-12,2,12,f, fpfflxzxffwxfvfff
7-12 m: hmmmmwmmbmlm,7-12,7,12,m, hmmmmwmmbmlm
2-3 z: mmlzzz,2-3,2,3,z, mmlzzz
12-16 h: hhbhhhkhhfhpbghm,12-16,12,16,h, hhbhhhkhhfhpbghm
15-18 s: ssssxsssssmsssqssx,15-18,15,18,s, ssssxsssssmsssqssx
8-9 s: sqsqdtmssqscxxs,8-9,8,9,s, sqsqdtmssqscxxs
1-10 n: nnbnnngnnn,1-10,1,10,n, nnbnnngnnn
10-14 c: ccbcvscncrccng,10-14,10,14,c, ccbcvscncrccng
7-8 k: kkhkxrkkctkpjkkck,7-8,7,8,k, kkhkxrkkctkpjkkck
10-11 g: bgpgggkcwzs,10-11,10,11,g, bgpgggkcwzs
9-17 l: llllllllckwllllllwl,9-17,9,17,l, llllllllckwllllllwl
7-12 q: gqqqjbxtqvqxzjhvjrjj,7-12,7,12,q, gqqqjbxtqvqxzjhvjrjj
1-3 s: ssnsc,1-3,1,3,s, ssnsc
3-10 n: nnnnnnnnnnnnnnnn,3-10,3,10,n, nnnnnnnnnnnnnnnn
9-12 l: blfnqllsllll,9-12,9,12,l, blfnqllsllll
5-8 s: sgsgstssl,5-8,5,8,s, sgsgstssl
1-4 c: cccwcc,1-4,1,4,c, cccwcc
7-9 h: hhhhhhhhhhh,7-9,7,9,h, hhhhhhhhhhh
2-4 s: sssss,2-4,2,4,s, sssss
8-10 f: vznpfffrsffscgfzft,8-10,8,10,f, vznpfffrsffscgfzft
4-5 r: hnrns,4-5,4,5,r, hnrns
4-5 z: zzzlgz,4-5,4,5,z, zzzlgz
10-18 w: wwwwwwwwwwwwwwwwwwww,10-18,10,18,w, wwwwwwwwwwwwwwwwwwww
3-12 b: bfmbbbbfbbltbg,3-12,3,12,b, bfmbbbbfbbltbg
14-15 z: zzjxrhrjsbrrzgd,14-15,14,15,z, zzjxrhrjsbrrzgd
1-2 z: zzzzz,1-2,1,2,z, zzzzz
4-11 x: pxgxwphxmgxpt,4-11,4,11,x, pxgxwphxmgxpt
1-16 c: cbgnxcccxsrcbmcvqc,1-16,1,16,c, cbgnxcccxsrcbmcvqc
3-6 n: cnppnnjnxnnjss,3-6,3,6,n, cnppnnjnxnnjss
8-9 r: zltfbjwrrlmtrzqrh,8-9,8,9,r, zltfbjwrrlmtrzqrh
1-3 z: zzqzzzzzzz,1-3,1,3,z, zzqzzzzzzz
4-7 n: vgndgdndbxcnznxc,4-7,4,7,n, vgndgdndbxcnznxc
2-9 w: wwwwwcfnww,2-9,2,9,w, wwwwwcfnww
1-4 b: tbbrbbbbbcbbbbbbbbdk,1-4,1,4,b, tbbrbbbbbcbbbbbbbbdk
7-8 h: hhhwhzhhhhtf,7-8,7,8,h, hhhwhzhhhhtf
12-13 j: jjjjjjjjjjjjj,12-13,12,13,j, jjjjjjjjjjjjj
2-8 m: rthcgnxmm,2-8,2,8,m, rthcgnxmm
2-7 l: glzctbjh,2-7,2,7,l, glzctbjh
5-7 d: dddddddx,5-7,5,7,d, dddddddx
12-13 x: xxxxxxxxxxxxs,12-13,12,13,x, xxxxxxxxxxxxs
6-11 t: ltnfnnqttvtkjnlk,6-11,6,11,t, ltnfnnqttvtkjnlk
6-7 x: qxxxxpfxxx,6-7,6,7,x, qxxxxpfxxx
1-3 d: kdndzd,1-3,1,3,d, kdndzd
6-11 f: zfxfmffptsffmffvfz,6-11,6,11,f, zfxfmffptsffmffvfz
1-4 x: xxxxxxx,1-4,1,4,x, xxxxxxx
4-5 l: lllllllll,4-5,4,5,l, lllllllll
4-8 c: cjccccgckrdpvv,4-8,4,8,c, cjccccgckrdpvv
13-14 z: zzzwzzzzzzzzkkzp,13-14,13,14,z, zzzwzzzzzzzzkkzp
1-3 r: lgtr,1-3,1,3,r, lgtr
3-17 g: ggtgjgmggggggggggggg,3-17,3,17,g, ggtgjgmggggggggggggg
4-5 q: qqqqqq,4-5,4,5,q, qqqqqq
2-6 v: vvvlvvv,2-6,2,6,v, vvvlvvv
4-17 c: nwqcprgftnqgcrjpcjb,4-17,4,17,c, nwqcprgftnqgcrjpcjb
7-10 x: xlxfrjxxxxgnxx,7-10,7,10,x, xlxfrjxxxxgnxx
2-14 q: qqqqqqqqqqqqqsqqq,2-14,2,14,q, qqqqqqqqqqqqqsqqq
4-8 x: xxxxxxxxxxx,4-8,4,8,x, xxxxxxxxxxx
1-16 z: bzzzzzzzzmzzzzldzzzz,1-16,1,16,z, bzzzzzzzzmzzzzldzzzz
2-4 v: bffhzd,2-4,2,4,v, bffhzd
3-4 r: rrrr,3-4,3,4,r, rrrr
5-8 x: xxxxxnsxd,5-8,5,8,x, xxxxxnsxd
1-17 g: gbngjggxgggjgzvjk,1-17,1,17,g, gbngjggxgggjgzvjk
2-3 b: sgbb,2-3,2,3,b, sgbb
11-14 p: ppppppppppppppp,11-14,11,14,p, ppppppppppppppp
3-9 q: vhsjtqppqgdqdqlf,3-9,3,9,q, vhsjtqppqgdqdqlf
1-3 w: wcwzsfzwwcwdwncwp,1-3,1,3,w, wcwzsfzwwcwdwncwp
7-11 f: ffffffdfffff,7-11,7,11,f, ffffffdfffff
3-8 g: ksgdcqqgtkmgjbzsf,3-8,3,8,g, ksgdcqqgtkmgjbzsf
5-8 s: tsssccswss,5-8,5,8,s, tsssccswss
1-7 r: brrrrrhrrrrr,1-7,1,7,r, brrrrrhrrrrr
5-7 g: ggxmgggcwgz,5-7,5,7,g, ggxmgggcwgz
2-4 h: hhwh,2-4,2,4,h, hhwh
9-18 w: wwwwwwwwhwwwwwwwwbw,9-18,9,18,w, wwwwwwwwhwwwwwwwwbw
1-7 m: ndmmbmmmmmmm,1-7,1,7,m, ndmmbmmmmmmm
5-7 j: jjvjvjt,5-7,5,7,j, jjvjvjt
3-8 m: plnmcmkfmmcm,3-8,3,8,m, plnmcmkfmmcm
4-5 r: rrrjzr,4-5,4,5,r, rrrjzr
4-8 k: kkkgkjknkjkk,4-8,4,8,k, kkkgkjknkjkk
17-18 s: srngdqpwxcrbqrprss,17-18,17,18,s, srngdqpwxcrbqrprss
4-9 t: mbkjrtntztrttt,4-9,4,9,t, mbkjrtntztrttt
1-10 w: hwwwwwwwwwwtx,1-10,1,10,w, hwwwwwwwwwwtx
5-9 f: lfvhfxndfffmxhf,5-9,5,9,f, lfvhfxndfffmxhf
7-8 n: pnnnnnbvnnnnnnnnnhnn,7-8,7,8,n, pnnnnnbvnnnnnnnnnhnn
1-10 b: jjtptpmmqv,1-10,1,10,b, jjtptpmmqv
1-3 p: rqppqt,1-3,1,3,p, rqppqt
1-11 t: pbtwdttkttmtxj,1-11,1,11,t, pbtwdttkttmtxj
5-6 g: jpkfggtcmj,5-6,5,6,g, jpkfggtcmj
6-8 f: fffffpfvf,6-8,6,8,f, fffffpfvf
9-13 t: ttttttttdtttg,9-13,9,13,t, ttttttttdtttg
3-5 r: prrjr,3-5,3,5,r, prrjr
18-19 b: bbbbbbbbbbbbbbbbbbb,18-19,18,19,b, bbbbbbbbbbbbbbbbbbb
5-7 v: vjvjxjhvrv,5-7,5,7,v, vjvjxjhvrv
8-10 z: zzzsznzxttgspzzzz,8-10,8,10,z, zzzsznzxttgspzzzz
5-13 m: mngmcbmqbxmzjfm,5-13,5,13,m, mngmcbmqbxmzjfm
1-3 b: xbhb,1-3,1,3,b, xbhb
12-14 m: mfmmbgmmmmmcmz,12-14,12,14,m, mfmmbgmmmmmcmz
3-6 n: jpnpnnn,3-6,3,6,n, jpnpnnn
3-14 j: xmgjqkzfctctxwgjms,3-14,3,14,j, xmgjqkzfctctxwgjms
7-14 k: lbkfcbctkgkjkqvjdwkc,7-14,7,14,k, lbkfcbctkgkjkqvjdwkc
6-8 l: lhthfgllfvbpxchct,6-8,6,8,l, lhthfgllfvbpxchct
5-6 h: hhhhhk,5-6,5,6,h, hhhhhk
6-9 c: qkxtbqltkzcrdcgckncc,6-9,6,9,c, qkxtbqltkzcrdcgckncc
13-15 w: fhsvgcxwfcgxwvwwwkb,13-15,13,15,w, fhsvgcxwfcgxwvwwwkb
3-4 c: cccmcj,3-4,3,4,c, cccmcj
3-4 m: mhmcmm,3-4,3,4,m, mhmcmm
4-5 k: skkqg,4-5,4,5,k, skkqg
4-16 m: mgmcmmmmmmmmmmmtmmm,4-16,4,16,m, mgmcmmmmmmmmmmmtmmm
3-5 g: gggbsg,3-5,3,5,g, gggbsg
9-15 l: dnslgllwlflmlllllll,9-15,9,15,l, dnslgllwlflmlllllll
3-4 h: mhhh,3-4,3,4,h, mhhh
3-5 z: vkjzlzzvrztwg,3-5,3,5,z, vkjzlzzvrztwg
11-12 q: qqqqqqqqqqqq,11-12,11,12,q, qqqqqqqqqqqq
5-10 p: xpxprppppgzppp,5-10,5,10,p, xpxprppppgzppp
1-4 z: kzzhzszzzzzzzz,1-4,1,4,z, kzzhzszzzzzzzz
2-7 j: nsjfszt,2-7,2,7,j, nsjfszt
8-13 j: qtrjfmbjfswrj,8-13,8,13,j, qtrjfmbjfswrj
2-10 s: ssscwcsnsssrt,2-10,2,10,s, ssscwcsnsssrt
1-12 w: zwwwwwwwwwwx,1-12,1,12,w, zwwwwwwwwwwx
2-4 p: ppgvf,2-4,2,4,p, ppgvf
2-3 n: hnnxmgtchqwgnfx,2-3,2,3,n, hnnxmgtchqwgnfx
11-12 z: bfzlvgdzpfzzzgvhz,11-12,11,12,z, bfzlvgdzpfzzzgvhz
1-6 d: czqqdjrxs,1-6,1,6,d, czqqdjrxs
6-7 r: rrrrrkz,6-7,6,7,r, rrrrrkz
4-7 d: hxdzddvq,4-7,4,7,d, hxdzddvq
2-4 g: slwgs,2-4,2,4,g, slwgs
13-14 f: mqfhrlftvvfkff,13-14,13,14,f, mqfhrlftvvfkff
12-14 d: ddddddddddhqdc,12-14,12,14,d, ddddddddddhqdc
1-3 f: ffzff,1-3,1,3,f, ffzff
4-5 r: mrrrkrrrrrrkr,4-5,4,5,r, mrrrkrrrrrrkr
3-4 m: mmwl,3-4,3,4,m, mmwl
2-5 j: jljjsjdj,2-5,2,5,j, jljjsjdj
4-5 f: fkfdf,4-5,4,5,f, fkfdf
16-17 s: dzdsrsgmsjffsnssls,16-17,16,17,s, dzdsrsgmsjffsnssls
10-17 f: fffffhffffhffffff,10-17,10,17,f, fffffhffffhffffff
8-10 v: fvvvvvvvvz,8-10,8,10,v, fvvvvvvvvz
4-9 n: nnnpsnjstl,4-9,4,9,n, nnnpsnjstl
8-11 x: xxzdxfjczxx,8-11,8,11,x, xxzdxfjczxx
4-10 k: nrkxhfzspmfpzcl,4-10,4,10,k, nrkxhfzspmfpzcl
7-10 x: pxxjlcbtsjxdc,7-10,7,10,x, pxxjlcbtsjxdc
1-14 s: fsszssssssfsssss,1-14,1,14,s, fsszssssssfsssss
5-7 d: ddgdgdvddd,5-7,5,7,d, ddgdgdvddd
2-11 t: jttpshfcmlt,2-11,2,11,t, jttpshfcmlt
1-3 v: pvdv,1-3,1,3,v, pvdv
5-7 x: xxkxxxx,5-7,5,7,x, xxkxxxx
13-14 d: ddddxdvdppdcrdhk,13-14,13,14,d, ddddxdvdppdcrdhk
2-6 h: hhmhpc,2-6,2,6,h, hhmhpc
6-11 g: jxhsggmgcrp,6-11,6,11,g, jxhsggmgcrp
13-16 r: krrrnccjrrtrtrrlprrr,13-16,13,16,r, krrrnccjrrtrtrrlprrr
3-4 f: ffff,3-4,3,4,f, ffff
5-7 t: ttttttttttttt,5-7,5,7,t, ttttttttttttt
5-7 d: ndddjdw,5-7,5,7,d, ndddjdw
7-12 w: wgjwwbwcxfww,7-12,7,12,w, wgjwwbwcxfww
2-6 s: sxsssbs,2-6,2,6,s, sxsssbs
12-14 l: xlxslmmjpvmzll,12-14,12,14,l, xlxslmmjpvmzll
4-6 h: hdhhhhdhkch,4-6,4,6,h, hdhhhhdhkch
9-11 j: jjjjjjjjjjj,9-11,9,11,j, jjjjjjjjjjj
6-8 d: dddddddn,6-8,6,8,d, dddddddn
5-6 b: bbbbsnbbbbb,5-6,5,6,b, bbbbsnbbbbb
1-8 h: hhhhhhhhhh,1-8,1,8,h, hhhhhhhhhh
5-11 p: ppppppppppp,5-11,5,11,p, ppppppppppp
11-12 d: dddddddddddk,11-12,11,12,d, dddddddddddk
1-2 b: bbpbb,1-2,1,2,b, bbpbb
2-8 j: jjhhjzjjt,2-8,2,8,j, jjhhjzjjt
5-6 k: kfkjkk,5-6,5,6,k, kfkjkk
3-5 j: kgjjjjqnjcfmjjrc,3-5,3,5,j, kgjjjjqnjcfmjjrc
2-5 l: jtmzhlcs,2-5,2,5,l, jtmzhlcs
3-6 v: vvvvvvv,3-6,3,6,v, vvvvvvv
15-16 v: vpvvvvvvvvjvvsvvvvvv,15-16,15,16,v, vpvvvvvvvvjvvsvvvvvv
15-16 h: hhhhhhhhmhhhdhhh,15-16,15,16,h, hhhhhhhhmhhhdhhh
2-3 k: ksdg,2-3,2,3,k, ksdg
7-11 b: dbhbbbbbhbbrb,7-11,7,11,b, dbhbbbbbhbbrb
4-14 k: kkkknkkkkkbtkkk,4-14,4,14,k, kkkknkkkkkbtkkk
5-6 j: smdndsgfm,5-6,5,6,j, smdndsgfm
2-3 c: sccc,2-3,2,3,c, sccc
10-15 w: bwwwbwwwcwwlwwpwwwww,10-15,10,15,w, bwwwbwwwcwwlwwpwwwww
3-6 w: wwwwwww,3-6,3,6,w, wwwwwww
14-19 s: jqdgjszsssssdrssjszs,14-19,14,19,s, jqdgjszsssssdrssjszs
5-10 p: vpppbppppp,5-10,5,10,p, vpppbppppp
4-7 p: zcpltzbsjmcgpv,4-7,4,7,p, zcpltzbsjmcgpv
2-8 j: tfjjjjjnprj,2-8,2,8,j, tfjjjjjnprj
14-15 m: mmmmmmmmmmmmmhqm,14-15,14,15,m, mmmmmmmmmmmmmhqm
1-6 t: pttttct,1-6,1,6,t, pttttct
9-10 n: qnbnzxjfnnkb,9-10,9,10,n, qnbnzxjfnnkb
5-6 v: vvvvjvv,5-6,5,6,v, vvvvjvv
7-8 v: qvvbvpvvvf,7-8,7,8,v, qvvbvpvvvf
2-15 s: sjsssssssssssstss,2-15,2,15,s, sjsssssssssssstss
7-10 b: bvbbbbnbbbbb,7-10,7,10,b, bvbbbbnbbbbb
13-14 b: bqbbbjqbbbbbtq,13-14,13,14,b, bqbbbjqbbbbbtq
3-7 k: cltbmkkb,3-7,3,7,k, cltbmkkb
8-9 c: mlscsmqccfmccszsslck,8-9,8,9,c, mlscsmqccfmccszsslck
3-4 k: kklckk,3-4,3,4,k, kklckk
5-7 c: cccmclg,5-7,5,7,c, cccmclg
5-7 d: dnddddd,5-7,5,7,d, dnddddd
1-5 f: xfffbffffffffff,1-5,1,5,f, xfffbffffffffff
13-15 n: nnnnnnnnnnnnnnqfnn,13-15,13,15,n, nnnnnnnnnnnnnnqfnn
3-6 t: ttttqztttcttt,3-6,3,6,t, ttttqztttcttt
3-4 s: ssnws,3-4,3,4,s, ssnws
9-11 f: bcvkzrdrcffgzjgvf,9-11,9,11,f, bcvkzrdrcffgzjgvf
3-10 r: rrrdrrqrrrrrr,3-10,3,10,r, rrrdrrqrrrrrr
3-6 h: bbqhkh,3-6,3,6,h, bbqhkh
3-8 n: nngnwthw,3-8,3,8,n, nngnwthw
1-11 x: ffqbbnxcpkrlzhm,1-11,1,11,x, ffqbbnxcpkrlzhm
3-4 b: bbbbnnb,3-4,3,4,b, bbbbnnb
5-6 f: lfdwqjffmj,5-6,5,6,f, lfdwqjffmj
7-16 v: vvvvvvvvvvvvvvvvv,7-16,7,16,v, vvvvvvvvvvvvvvvvv
13-15 m: zmmmzmmmmmmmmkmrmmmm,13-15,13,15,m, zmmmzmmmmmmmmkmrmmmm
1-2 r: rrrr,1-2,1,2,r, rrrr
12-14 d: dkdddddddddddcddd,12-14,12,14,d, dkdddddddddddcddd
14-15 r: crlrtjkrrnhqrrr,14-15,14,15,r, crlrtjkrrnhqrrr
5-9 w: xjjwpcpfffchxtww,5-9,5,9,w, xjjwpcpfffchxtww
15-16 d: jdcchsgdjtjdcxdrlwx,15-16,15,16,d, jdcchsgdjtjdcxdrlwx
9-15 p: cpmpppprpnpppsp,9-15,9,15,p, cpmpppprpnpppsp
6-7 w: jlqkwww,6-7,6,7,w, jlqkwww
1-12 p: wpfqzppptpflp,1-12,1,12,p, wpfqzppptpflp
4-14 x: xxxxxxxxxxxxxxxxxx,4-14,4,14,x, xxxxxxxxxxxxxxxxxx
1-4 z: xzzjz,1-4,1,4,z, xzzjz
2-10 t: zvbnlwltbkvvcf,2-10,2,10,t, zvbnlwltbkvvcf
5-9 v: vpvvvvfvvvvv,5-9,5,9,v, vpvvvvfvvvvv
2-12 l: lllllllllllllllll,2-12,2,12,l, lllllllllllllllll
2-6 w: wmcwzpvxqsbxrrw,2-6,2,6,w, wmcwzpvxqsbxrrw
11-12 l: lldlllllllrllgll,11-12,11,12,l, lldlllllllrllgll
9-13 h: hhhhhhhhdhxhrhh,9-13,9,13,h, hhhhhhhhdhxhrhh
6-9 x: xxxzxxxxxxxx,6-9,6,9,x, xxxzxxxxxxxx
1-15 x: vcsxxxgxxxxwxxbbxx,1-15,1,15,x, vcsxxxgxxxxwxxbbxx
7-12 d: fmddcdfndddddkdnrgt,7-12,7,12,d, fmddcdfndddddkdnrgt
12-14 x: wlmbpdxxrxbxdxg,12-14,12,14,x, wlmbpdxxrxbxdxg
5-9 l: gnllscnsz,5-9,5,9,l, gnllscnsz
4-5 j: jjjjj,4-5,4,5,j, jjjjj
6-10 q: kvctnxpqhqfhjb,6-10,6,10,q, kvctnxpqhqfhjb
6-8 q: vqqnqcqpqq,6-8,6,8,q, vqqnqcqpqq
2-9 k: mvxsbrxzr,2-9,2,9,k, mvxsbrxzr
10-11 c: lbcgbpsxhcc,10-11,10,11,c, lbcgbpsxhcc
9-17 x: xkdpklsvxqlkvrlvx,9-17,9,17,x, xkdpklsvxqlkvrlvx
3-14 j: trjcmjzjqkbjjj,3-14,3,14,j, trjcmjzjqkbjjj
7-8 k: kkkkkkhfg,7-8,7,8,k, kkkkkkhfg
1-3 f: pfdf,1-3,1,3,f, pfdf
9-12 s: glcjzdmllprrrxmdds,9-12,9,12,s, glcjzdmllprrrxmdds
9-11 b: bwbbbbbbbbqb,9-11,9,11,b, bwbbbbbbbbqb
2-14 f: kzfffbzfhfffflf,2-14,2,14,f, kzfffbzfhfffflf
5-7 n: ngnnnnn,5-7,5,7,n, ngnnnnn
6-10 t: tttttrtttjtt,6-10,6,10,t, tttttrtttjtt
7-8 f: fvffzfpff,7-8,7,8,f, fvffzfpff
3-5 h: jbhkx,3-5,3,5,h, jbhkx
9-11 b: qckbnjtbcbb,9-11,9,11,b, qckbnjtbcbb
12-15 m: mmmmkmmmmqmmmmjxm,12-15,12,15,m, mmmmkmmmmqmmmmjxm
9-11 c: cdckczpcccc,9-11,9,11,c, cdckczpcccc
1-3 v: wzxq,1-3,1,3,v, wzxq
8-11 q: qhqqqqqlqqnqq,8-11,8,11,q, qhqqqqqlqqnqq
4-9 j: mpjjqsdsj,4-9,4,9,j, mpjjqsdsj
13-17 s: sssssssssssssssss,13-17,13,17,s, sssssssssssssssss
4-7 x: knbxqrxxzl,4-7,4,7,x, knbxqrxxzl
15-17 m: mmmmmmmmmmmmmmmmmmm,15-17,15,17,m, mmmmmmmmmmmmmmmmmmm
6-10 w: wxnwfhwqdd,6-10,6,10,w, wxnwfhwqdd
9-11 r: crrrrcrnrrwrrmrrrm,9-11,9,11,r, crrrrcrnrrwrrmrrrm
9-15 l: klflxlcllldllllll,9-15,9,15,l, klflxlcllldllllll
1-4 n: vpnznn,1-4,1,4,n, vpnznn
2-4 k: cjkg,2-4,2,4,k, cjkg
7-8 m: xqmmrmmjjshmfm,7-8,7,8,m, xqmmrmmjjshmfm
4-6 f: sfffff,4-6,4,6,f, sfffff
2-7 l: mltmmnldsnnl,2-7,2,7,l, mltmmnldsnnl
5-6 j: tjjdjxjjbs,5-6,5,6,j, tjjdjxjjbs
4-5 p: ppmnp,4-5,4,5,p, ppmnp
2-3 b: bzrb,2-3,2,3,b, bzrb
5-17 h: dmpdgxthrcppfznbhchw,5-17,5,17,h, dmpdgxthrcppfznbhchw
3-4 p: pppp,3-4,3,4,p, pppp
3-5 v: vvhvvr,3-5,3,5,v, vvhvvr
9-10 g: gflzqwbvgsgnbzngmgr,9-10,9,10,g, gflzqwbvgsgnbzngmgr
8-17 z: xpvzsrhgzqtdcfjzl,8-17,8,17,z, xpvzsrhgzqtdcfjzl
1-4 x: khxjxxvd,1-4,1,4,x, khxjxxvd
3-4 z: czzz,3-4,3,4,z, czzz
10-12 m: zjzcmmpxmjxmxzm,10-12,10,12,m, zjzcmmpxmjxmxzm
7-9 k: kkkkkkkktkzkkk,7-9,7,9,k, kkkkkkkktkzkkk
16-17 d: ddrdgdxdddddgddwmd,16-17,16,17,d, ddrdgdxdddddgddwmd
2-16 f: xmsflgsvfwnfmxwnnmg,2-16,2,16,f, xmsflgsvfwnfmxwnnmg
4-12 b: ltbkbqbbbbbc,4-12,4,12,b, ltbkbqbbbbbc
12-14 t: tctlnvtjttsgztthtxtt,12-14,12,14,t, tctlnvtjttsgztthtxtt
9-14 x: xxxgpxvlkxdxdrxxrxwx,9-14,9,14,x, xxxgpxvlkxdxdrxxrxwx
15-17 s: xsssssssssssssvgw,15-17,15,17,s, xsssssssssssssvgw
10-16 q: hqqpqxjqbsxqfqbm,10-16,10,16,q, hqqpqxjqbsxqfqbm
4-5 v: vvvnvvvttv,4-5,4,5,v, vvvnvvvttv
15-16 v: rwshvltmvgvcvpvv,15-16,15,16,v, rwshvltmvgvcvpvv
4-5 j: jjjjjjjj,4-5,4,5,j, jjjjjjjj
3-5 w: jwfwp,3-5,3,5,w, jwfwp
4-5 m: nddmm,4-5,4,5,m, nddmm
10-13 t: rtttnttttttttj,10-13,10,13,t, rtttnttttttttj
14-17 l: llllllllllllltlcnl,14-17,14,17,l, llllllllllllltlcnl
7-16 p: crjhtmpppgkpvgnpt,7-16,7,16,p, crjhtmpppgkpvgnpt
6-9 b: bbfbbhbfgdrb,6-9,6,9,b, bbfbbhbfgdrb
1-2 q: qkqq,1-2,1,2,q, qkqq
17-20 f: hwcftkmtzhftmnfwfsdf,17-20,17,20,f, hwcftkmtzhftmnfwfsdf
2-4 w: wjtww,2-4,2,4,w, wjtww
10-11 p: pppppppppppp,10-11,10,11,p, pppppppppppp
5-12 l: dntvlnljwkkldgp,5-12,5,12,l, dntvlnljwkkldgp
3-4 s: gmkvlqxsx,3-4,3,4,s, gmkvlqxsx
8-10 m: qmmmmmmmmm,8-10,8,10,m, qmmmmmmmmm
12-14 p: gtbnfmlvtkppwp,12-14,12,14,p, gtbnfmlvtkppwp
